Gene,BaseMean,Log2FoldChange,Mean_Mock,Mean_Infected,Statistic,PValue,FDR,Significance
MMP13,1.4874312802278091,2.5403441874552537,0.2172591865001822,2.757603373955436,4.065035622925919,0.004179930033630791,0.03548313299766655,Upregulated
DLX2,2.233602005500377,2.533697698726821,0.9667531561369666,3.5004508548637876,3.3414550071714952,0.007143352678517612,0.048932852119890125,Upregulated
LOC100129617,2.4159287575197226,2.5247556056481812,1.1535509546956322,3.678306560343813,4.845658526201625,0.0002449808923214824,0.006238876857404836,Upregulated
CLEC4A,2.027812566954923,2.517675658667482,0.7689747376211818,3.286650396288664,3.59195960668032,0.004817899665472401,0.03872287841568457,Upregulated
GEM,7.0351297028649675,2.5031252032556486,5.783567101237144,8.286692304492792,3.639676320230261,0.0050711878985994635,0.039696164294986964,Upregulated
ZC3H12A,9.311962930870092,2.4962968350278434,8.063814513356169,10.560111348384012,8.065434482680521,3.6926223191415305e-06,0.0005200945497052097,Upregulated
HCG26,2.0493198412711355,2.4841799162252167,0.8072298831585273,3.291409799383744,8.320175207107082,6.244784438720383e-07,0.0001873842600166466,Upregulated
CLUHP3,5.198152173021781,2.476061422143817,3.9601214619498726,6.436182884093689,4.666906827901297,0.0011736545703882025,0.015897894048153446,Upregulated
EGR3,2.2557256440277627,2.471128346991014,1.0201614705322555,3.4912898175232696,4.583966084327412,0.00036296325673104414,0.007952352115331116,Upregulated
SUGT1P1,3.0189572122106427,2.441124190641033,1.7983951168901262,4.239519307531159,4.844002897488144,0.00022566093641610143,0.0058992384571050155,Upregulated
ZNF441,3.612760549689031,2.4296081252845148,2.3979564870467738,4.8275646123312885,3.9764154860557834,0.0018751773159843472,0.021250470026709316,Upregulated
SERTAD2,9.020853147905527,2.4243214174337515,7.808692439188651,10.233013856622403,5.187538537563059,0.0007432474521487829,0.012119885789899712,Upregulated
BCL3,8.490378321827011,2.40800752922814,7.286374557212941,9.694382086441081,6.064627638100227,6.678598204816596e-05,0.0027934754854873783,Upregulated
ICAM4,2.4232820608955246,2.406385140034199,1.2200894908784248,3.626474630912624,3.532716896189206,0.00435552687340668,0.036458057873640023,Upregulated
JUN,10.937814631837194,2.403644677291851,9.735992293191268,12.139636970483119,10.667933712013497,2.0528060406813435e-06,0.000346148790145083,Upregulated
CLK1,9.924747284722201,2.401885578658529,8.723804495392937,11.125690074051466,4.204575664214133,0.0025762106719280963,0.026340322892313712,Upregulated
TRAF1,6.80155040287002,2.3995238998837696,5.601788452928135,8.001312352811905,3.93375968845166,0.0031184338576080344,0.029726341530776034,Upregulated
DDX58,9.117969044030101,2.394349168115048,7.920794459972577,10.315143628087625,3.8403218834317254,0.00565330926456115,0.04225375486194841,Upregulated
DDIT3,8.476565921845136,2.3818246101056673,7.2856536167923025,9.66747822689797,5.845637762684268,0.0002429970568886464,0.006211274770803678,Upregulated
RFPL3S,2.4215999288751613,2.373306162939961,1.234946847405181,3.608253010345142,4.14748480295228,0.002206441625504484,0.023905426810705177,Upregulated
HIVEP2,8.190820665316771,2.357780948907868,7.011930190862836,9.369711139770704,10.05585019723394,3.588214505549886e-06,0.0005159179668760946,Upregulated
N4BP3,5.507617191703531,2.340495729391411,4.337369327007825,6.677865056399236,4.720828351041063,0.000279627985787414,0.006769524086465035,Upregulated
HLA-F,7.537346639859511,2.3383867396392555,6.368153270039882,8.706540009679138,4.249645875655147,0.0008127969181037956,0.012722346350646497,Upregulated
FRS2,8.490556397302157,2.3302586932908085,7.325427050656753,9.655685743947561,4.710646266249269,0.0006385191495208243,0.011114098134723754,Upregulated
CHD2,10.680881531248271,2.3291182523877634,9.51632240505439,11.845440657442154,4.880366920774889,0.0009082957667722844,0.013621723231887343,Upregulated
GBP1P1,1.1954997865269876,2.329048969121247,0.0309753019663643,2.360024271087611,3.9364985336194733,0.00556739665307078,0.04187835204486975,Upregulated
LOC284454,7.7219423261796925,2.3259515644818283,6.558966543938778,8.884918108420607,3.588789354395077,0.0059531170916268875,0.04368467581909938,Upregulated
PINLYP,2.0976088298225797,2.323025892473197,0.936095883585981,3.259121776059178,3.558544511390418,0.006036230320724617,0.044053298660337206,Upregulated
PRDM1,5.929835589078172,2.3166392092564125,4.771515984449965,7.088155193706378,4.142536500250441,0.000972388672394744,0.014188034719941492,Upregulated
PIP5K1B,2.3004136617889017,2.3160895269112634,1.1423688983332703,3.4584584252445336,4.274936195114896,0.0007542143204684325,0.01219018766443299,Upregulated
CYLD,8.677127034473664,2.3067480427231155,7.523753013112105,9.83050105583522,6.320358775687272,0.0001031370412157908,0.0037120182308147207,Upregulated
OTUD1,6.259742428512363,2.2990562208181684,5.110214318103278,7.409270538921446,3.992148799499875,0.0016972095657786786,0.020265210758168773,Upregulated
DDX60L,8.703888315605592,2.2927616857655844,7.5575074727228,9.850269158488384,4.140929190244954,0.002919987823131801,0.02852412733382042,Upregulated
NR4A1,7.790762041449694,2.283397626148429,6.649063228375479,8.932460854523908,4.9886155051641445,0.0007095645298892463,0.011828646384131964,Upregulated
RLF,8.58084709313852,2.280617002369448,7.440538591953796,9.721155594323244,3.7194759034425617,0.005650225795054507,0.04225375486194841,Upregulated
SEMA4A,3.0538029891546965,2.2791103915893993,1.9142477933599968,4.193358184949396,5.089591190436333,0.00022251033011726746,0.005863475664863921,Upregulated
NFKB1,8.552880570014018,2.264525291928704,7.420617924049667,9.685143215978371,6.131358636533069,0.00020000578553814176,0.005552312104406134,Upregulated
LOC440896,1.4274482735699272,2.2643502935218907,0.2952731268089817,2.5596234203308725,3.8073722175945623,0.005403508803231185,0.04125256195298675,Upregulated
ARL5B,8.185655539776771,2.2640976882802564,7.053606695636643,9.3177043839169,4.051974333568912,0.002051026441993271,0.02263015026285621,Upregulated
MB21D2,7.285083715314469,2.256581183805782,6.156793123411578,8.41337430721736,5.393590974424522,0.0003036112072213508,0.007090939920941295,Upregulated
SIX4,6.454122540149985,2.2563413937023995,5.325951843298785,7.582293237001185,8.884878183860518,1.8345274985935232e-06,0.00034004384288189617,Upregulated
HIST1H4E,4.59587443302012,2.2513262145751054,3.4702113257325675,5.721537540307673,4.047200016658554,0.0012903396455930586,0.01689806274015274,Upregulated
SNORA25,3.3499500242423093,2.24806751342863,2.225916267527994,4.473983780956624,4.341347910280437,0.0007523947060907758,0.01219018766443299,Upregulated
NACAD,2.2587395657953975,2.2421325930119522,1.1376732692894214,3.3798058623013736,4.177953887103206,0.0013448449095619188,0.0173809871598157,Upregulated
SP8,1.7293740085648066,2.2411240786320334,0.6088119692487898,2.8499360478808233,5.192667377821343,0.00013404072771795915,0.004272896454251709,Upregulated
CMYA5,2.9953203952139837,2.240682561973383,1.874979114227292,4.115661676200675,4.680581667434894,0.0007373642971355187,0.012059051413935503,Upregulated
APOL6,8.037661368456343,2.229066001984097,6.923128367464295,9.152194369448392,3.6336605808675864,0.005535584056039089,0.04175681489152893,Upregulated
ZBTB21,8.154382240279363,2.214938310408751,7.046913085074987,9.261851395483738,3.4358826880011963,0.005893723353664969,0.04345676466380212,Upregulated
ZNF14,5.309067579287752,2.2009782877044852,4.208578435435509,6.409556723139994,4.657672408292425,0.0007812146958768568,0.01245162407296565,Upregulated
ZNF555,5.7026025950866135,2.1886482677844343,4.608278461194396,6.79692672897883,4.026175724826708,0.0041898908348916575,0.035535959609962864,Upregulated
STAT2,8.668808692482015,2.186423293462699,7.575597045750666,9.762020339213365,3.740809735817458,0.004881850082719293,0.03901805251405582,Upregulated
ZNF436,7.69573368616117,2.1790831663934735,6.6061921029644335,8.785275269357907,4.2631638739094635,0.0018181228537645945,0.02094787124416753,Upregulated
TCTE3,3.2904739205740317,2.1765640995847306,2.2021918707816663,4.378755970366397,4.148323145682804,0.0011954954575227245,0.015989751744366443,Upregulated
ZNF292,8.893766280873447,2.1706124061347207,7.808460077806087,9.979072483940808,5.0203938077917405,0.0005193447498012404,0.009806450863894011,Upregulated
RSRC2,9.782252138220324,2.1648833819511886,8.69981044724473,10.864693829195918,4.992710732968875,0.0009903155725333444,0.014328433802597226,Upregulated
HIST1H4I,2.6098778711189765,2.1575988884294253,1.5310784269042637,3.688677315333689,3.476841938210265,0.004942627227200769,0.03927638665345551,Upregulated
HES1,8.16748410312123,2.1569931629156223,7.0889875216634195,9.245980684579042,3.9425090334453756,0.001763522446280494,0.02068130868819852,Upregulated
POU2F2,6.965760683672106,2.1546461623119217,5.888437602516145,8.043083764828067,3.8988726437286094,0.0032865934607856683,0.030755830196084463,Upregulated
HIVEP1,7.573713545638848,2.151457285310695,6.4979849029835,8.649442188294195,5.452426015456995,0.00018790540056789608,0.0053587980248732845,Upregulated
DUSP1,10.013960056154808,2.145552143723087,8.941183984293264,11.086736128016351,4.303235691693603,0.0012272880815880499,0.016273061854140108,Upregulated
PIM1,8.288011103343468,2.1217534301461,7.227134388270418,9.348887818416518,8.570299810859055,7.5253468042846926e-06,0.0007637673672025118,Upregulated
KLF6,10.352210911609522,2.10215238747916,9.30113471786994,11.4032871053491,5.475991869562592,0.0008693327774374072,0.013259005886153074,Upregulated
ZNF121,6.367788258202934,2.1018440615994507,5.316866227403208,7.418710289002659,4.921784987726131,0.0009280933891376617,0.013819280528875022,Upregulated
NKX3-1,6.655294445605755,2.098280645364227,5.606154122923641,7.704434768287868,3.5373151625456014,0.0045123702984297,0.03727485154297302,Upregulated
SKIL,9.135723313492115,2.0949973696419377,8.088224628671146,10.183221998313083,5.565011564678192,5.597419093296828e-05,0.0025055251363303855,Upregulated
TNFSF14,3.3259710445026007,2.0803310795590924,2.2858055047230548,4.366136584282147,3.8451852547266956,0.0018086670429727488,0.020912998432221306,Upregulated
B3GNT5,8.559675585626803,2.0734294048542665,7.522960883199669,9.596390288053936,6.934580287888489,2.562229518852265e-05,0.001600292038403521,Upregulated
FILIP1L,6.62925030351224,2.072880503237811,5.592810051893334,7.665690555131145,4.447896914812593,0.001969624081357522,0.021977947611138138,Upregulated
FOS,7.369311765984895,2.0684340976443236,6.335094717162733,8.403528814807057,4.577958791082855,0.0007856148889463789,0.012475742358601587,Upregulated
LRRN3,1.0809059305445567,2.062591437184793,0.04961021195216003,2.1122016491369533,3.9342023779083113,0.0054473961111134684,0.04140440997890925,Upregulated
PIGA,8.051743807665396,2.062356439562137,7.020565587884327,9.082922027446465,3.816547757841632,0.005279409482273787,0.04066500506909883,Upregulated
ZNF184,6.143115358896188,2.0573534717040207,5.114438623044178,7.171792094748199,4.473744695235426,0.0010027203805923908,0.014402236642369169,Upregulated
ZNF280B,5.068799955588194,2.055640645036579,4.040979633069904,6.096620278106483,5.149503174305067,0.00014596999274084065,0.004497374575450499,Upregulated
IRAK2,9.134691131064468,2.0505401092617355,8.1094210764336,10.159961185695336,5.824756212052516,5.080686475424631e-05,0.0023830520010669925,Upregulated
PARP12,8.264873408765794,2.039532061624178,7.245107377953706,9.284639439577884,3.6067512279293736,0.00526259714480747,0.040580797983115924,Upregulated
USP43,6.518755303484896,2.0378220942519647,5.499844256358914,7.537666350610879,5.0390903560343885,0.0011591713905467918,0.015763588870657503,Upregulated
MAP3K8,8.525154662224953,2.0365652166342727,7.506872053907816,9.54343727054209,5.785830670617845,0.00011472750464721218,0.0038846681239487982,Upregulated
ZNFX1,10.347213191647043,2.029359274346392,9.332533554473848,11.36189282882024,4.504018812183074,0.0018491977732096824,0.021094608978192767,Upregulated
SNORD50B,3.2952804396554174,2.0287634933274594,2.2808986929916877,4.309662186319147,3.659421714789293,0.002901018041513555,0.02842556006794281,Upregulated
MXD1,8.376101156783605,2.009885860543795,7.371158226511708,9.381044087055503,4.318016505531458,0.001138416540087907,0.015573402876940912,Upregulated
HIST1H4C,1.9776052128793054,2.007079911519676,0.9740652571194673,2.9811451686391433,3.4037400929063484,0.005352777763805686,0.0410491893072267,Upregulated
IER2,9.329173242431262,2.001708061622324,8.3283192116201,10.330027273242424,5.586849293597322,5.751445968492865e-05,0.0025384229369225034,Upregulated
FOXN2,8.184528816124779,1.9977957106540147,7.185630960797771,9.183426671451786,5.071574677403981,0.00023469902550922299,0.0060552348581379535,Upregulated
EGR4,1.4313667591830797,1.996750993004435,0.4329912626808621,2.429742255685297,4.437334568439655,0.00092555496799755,0.013819280528875022,Upregulated
PARP14,9.475735731917252,1.9952401436420324,8.478115660096236,10.473355803738269,3.8031040374773513,0.005511400066010442,0.04166147596448091,Upregulated
IFIT5,7.874518499397647,1.9877677660147306,6.880634616390282,8.868402382405012,4.137665646887867,0.0020022302642091244,0.02221606457948436,Upregulated
KLF4,8.265136743396592,1.9858599689085858,7.272206758942299,9.258066727850885,6.498116728770763,1.1005427720851435e-05,0.0009575422001461765,Upregulated
DBP,5.469981728942902,1.984830727405038,4.477566365240383,6.462397092645421,4.095405828130795,0.0016070681245670998,0.01964779568060202,Upregulated
ZNF627,6.574318944339511,1.9821968128831795,5.583220537897922,7.565417350781101,7.135019516725029,1.4408646638435648e-05,0.001137771600380096,Upregulated
